,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,date,won
10,265.0,265.0,48.0,93.0,0.516,11.0,33.0,0.333,22.0,31.0,0.71,11.0,33.0,44.0,29.0,6.0,1.0,14.0,23.0,129.0,,0.605,0.575,0.355,0.333,25.6,71.7,49.4,60.4,5.7,1.6,11.6,100.0,122.5,116.8,,,11.0,25.0,1.0,2.0,8.0,0.667,9.0,11.0,1.0,3.0,9.0,10.0,11.0,3.0,1.0,5.0,5.0,28.0,22.0,1.042,1.0,1.0,1.0,10.2,24.2,14.5,39.5,4.2,2.0,19.3,33.8,219.0,124.0,LAL,129,0,1,265.0,265.0,44.0,98.0,0.449,7.0,34.0,0.206,28.0,32.0,0.875,13.0,32.0,45.0,27.0,6.0,3.0,9.0,24.0,123.0,,0.549,0.485,0.347,0.327,28.3,74.4,50.6,61.4,5.7,5.0,7.4,100.0,116.8,122.5,,,13.0,29.0,0.7,2.0,9.0,0.5,9.0,11.0,1.0,7.0,10.0,13.0,8.0,2.0,1.0,4.0,5.0,37.0,10.0,0.75,0.75,1.0,0.579,20.2,61.7,29.8,30.8,5.5,9.6,33.3,35.0,217.0,125.0,NYK,123,1,2023-01-31,True
11,265.0,265.0,44.0,98.0,0.449,7.0,34.0,0.206,28.0,32.0,0.875,13.0,32.0,45.0,27.0,6.0,3.0,9.0,24.0,123.0,,0.549,0.485,0.347,0.327,28.3,74.4,50.6,61.4,5.7,5.0,7.4,100.0,116.8,122.5,,,13.0,29.0,0.7,2.0,9.0,0.5,9.0,11.0,1.0,7.0,10.0,13.0,8.0,2.0,1.0,4.0,5.0,37.0,10.0,0.75,0.75,1.0,0.579,20.2,61.7,29.8,30.8,5.5,9.6,33.3,35.0,217.0,125.0,NYK,123,1,0,265.0,265.0,48.0,93.0,0.516,11.0,33.0,0.333,22.0,31.0,0.71,11.0,33.0,44.0,29.0,6.0,1.0,14.0,23.0,129.0,,0.605,0.575,0.355,0.333,25.6,71.7,49.4,60.4,5.7,1.6,11.6,100.0,122.5,116.8,,,11.0,25.0,1.0,2.0,8.0,0.667,9.0,11.0,1.0,3.0,9.0,10.0,11.0,3.0,1.0,5.0,5.0,28.0,22.0,1.042,1.0,1.0,1.0,10.2,24.2,14.5,39.5,4.2,2.0,19.3,33.8,219.0,124.0,LAL,129,0,2023-01-31,False
12,240.0,240.0,37.0,80.0,0.463,9.0,33.0,0.273,23.0,27.0,0.852,10.0,40.0,50.0,24.0,5.0,8.0,21.0,21.0,106.0,,0.577,0.519,0.413,0.338,24.4,75.5,53.2,64.9,4.9,15.7,18.6,100.0,102.9,101.0,,,8.0,16.0,1.0,3.0,8.0,1.0,8.0,9.0,1.0,4.0,9.0,10.0,7.0,2.0,3.0,6.0,3.0,23.0,19.0,1.127,1.125,1.0,2.0,23.9,26.2,24.6,39.0,4.4,13.6,66.7,36.5,230.0,111.0,NYK,106,0,1,240.0,240.0,37.0,98.0,0.378,13.0,47.0,0.277,17.0,21.0,0.81,13.0,31.0,44.0,27.0,12.0,8.0,15.0,25.0,104.0,,0.485,0.444,0.48,0.214,24.5,75.6,46.8,73.0,11.7,17.0,12.3,100.0,101.0,102.9,,,10.0,29.0,0.667,4.0,13.0,0.5,7.0,8.0,1.0,4.0,7.0,9.0,9.0,6.0,2.0,4.0,4.0,31.0,5.0,0.735,0.7,0.875,1.333,12.0,25.7,12.3,46.5,15.4,11.2,40.0,36.3,158.0,112.0,PHI,104,1,2022-11-04,True
13,240.0,240.0,37.0,98.0,0.378,13.0,47.0,0.277,17.0,21.0,0.81,13.0,31.0,44.0,27.0,12.0,8.0,15.0,25.0,104.0,,0.485,0.444,0.48,0.214,24.5,75.6,46.8,73.0,11.7,17.0,12.3,100.0,101.0,102.9,,,10.0,29.0,0.667,4.0,13.0,0.5,7.0,8.0,1.0,4.0,7.0,9.0,9.0,6.0,2.0,4.0,4.0,31.0,5.0,0.735,0.7,0.875,1.333,12.0,25.7,12.3,46.5,15.4,11.2,40.0,36.3,158.0,112.0,PHI,104,1,0,240.0,240.0,37.0,80.0,0.463,9.0,33.0,0.273,23.0,27.0,0.852,10.0,40.0,50.0,24.0,5.0,8.0,21.0,21.0,106.0,,0.577,0.519,0.413,0.338,24.4,75.5,53.2,64.9,4.9,15.7,18.6,100.0,102.9,101.0,,,8.0,16.0,1.0,3.0,8.0,1.0,8.0,9.0,1.0,4.0,9.0,10.0,7.0,2.0,3.0,6.0,3.0,23.0,19.0,1.127,1.125,1.0,2.0,23.9,26.2,24.6,39.0,4.4,13.6,66.7,36.5,230.0,111.0,NYK,106,0,2022-11-04,False
14,240.0,240.0,44.0,92.0,0.478,8.0,27.0,0.296,21.0,27.0,0.778,16.0,32.0,48.0,20.0,8.0,4.0,17.0,20.0,117.0,,0.563,0.522,0.293,0.293,37.2,80.0,57.8,45.5,7.9,8.9,14.1,100.0,115.6,112.6,,,8.0,17.0,1.0,2.0,8.0,1.0,7.0,7.0,1.0,4.0,10.0,13.0,7.0,2.0,3.0,4.0,5.0,24.0,11.0,1.333,1.333,1.0,1.5,16.7,44.9,28.2,30.8,3.8,9.5,33.3,31.8,256.0,121.0,HOU,117,0,1,240.0,240.0,38.0,83.0,0.458,14.0,38.0,0.368,24.0,31.0,0.774,8.0,27.0,35.0,23.0,10.0,5.0,16.0,25.0,114.0,,0.59,0.542,0.458,0.373,20.0,62.8,42.2,60.5,9.9,7.7,14.2,100.0,112.6,115.6,,,6.0,17.0,1.0,6.0,11.0,1.0,6.0,8.0,1.0,3.0,6.0,7.0,7.0,5.0,1.0,6.0,5.0,21.0,16.0,1.5,1.5,1.0,1.0,15.1,64.4,33.4,52.4,12.1,3.8,33.3,29.7,169.0,123.0,DET,114,1,2023-01-28,True
15,240.0,240.0,38.0,83.0,0.458,14.0,38.0,0.368,24.0,31.0,0.774,8.0,27.0,35.0,23.0,10.0,5.0,16.0,25.0,114.0,,0.59,0.542,0.458,0.373,20.0,62.8,42.2,60.5,9.9,7.7,14.2,100.0,112.6,115.6,,,6.0,17.0,1.0,6.0,11.0,1.0,6.0,8.0,1.0,3.0,6.0,7.0,7.0,5.0,1.0,6.0,5.0,21.0,16.0,1.5,1.5,1.0,1.0,15.1,64.4,33.4,52.4,12.1,3.8,33.3,29.7,169.0,123.0,DET,114,1,0,240.0,240.0,44.0,92.0,0.478,8.0,27.0,0.296,21.0,27.0,0.778,16.0,32.0,48.0,20.0,8.0,4.0,17.0,20.0,117.0,,0.563,0.522,0.293,0.293,37.2,80.0,57.8,45.5,7.9,8.9,14.1,100.0,115.6,112.6,,,8.0,17.0,1.0,2.0,8.0,1.0,7.0,7.0,1.0,4.0,10.0,13.0,7.0,2.0,3.0,4.0,5.0,24.0,11.0,1.333,1.333,1.0,1.5,16.7,44.9,28.2,30.8,3.8,9.5,33.3,31.8,256.0,121.0,HOU,117,0,2023-01-28,False
16,240.0,240.0,46.0,88.0,0.523,12.0,36.0,0.333,22.0,28.0,0.786,8.0,32.0,40.0,28.0,15.0,6.0,10.0,15.0,126.0,,0.628,0.591,0.409,0.318,18.6,72.7,46.0,60.9,14.9,10.3,9.1,100.0,124.9,107.1,,,12.0,20.0,1.0,7.0,13.0,0.538,8.0,8.0,1.0,4.0,8.0,8.0,6.0,4.0,2.0,3.0,4.0,35.0,29.0,1.0,1.0,0.65,1.143,12.7,61.7,31.2,59.1,9.7,8.4,100.0,30.6,226.0,120.0,MIN,126,0,1,240.0,240.0,42.0,93.0,0.452,9.0,35.0,0.257,15.0,17.0,0.882,12.0,35.0,47.0,21.0,6.0,5.0,16.0,26.0,108.0,,0.537,0.5,0.376,0.183,27.3,81.4,54.0,50.0,5.9,9.6,13.7,100.0,107.1,124.9,,,12.0,21.0,1.0,5.0,11.0,1.0,5.0,5.0,1.0,3.0,9.0,12.0,6.0,2.0,3.0,4.0,5.0,26.0,3.0,1.071,1.0,1.0,2.5,17.6,28.9,19.1,42.5,4.1,8.0,36.1,30.7,228.0,132.0,ORL,108,1,2022-11-16,True
17,240.0,240.0,42.0,93.0,0.452,9.0,35.0,0.257,15.0,17.0,0.882,12.0,35.0,47.0,21.0,6.0,5.0,16.0,26.0,108.0,,0.537,0.5,0.376,0.183,27.3,81.4,54.0,50.0,5.9,9.6,13.7,100.0,107.1,124.9,,,12.0,21.0,1.0,5.0,11.0,1.0,5.0,5.0,1.0,3.0,9.0,12.0,6.0,2.0,3.0,4.0,5.0,26.0,3.0,1.071,1.0,1.0,2.5,17.6,28.9,19.1,42.5,4.1,8.0,36.1,30.7,228.0,132.0,ORL,108,1,0,240.0,240.0,46.0,88.0,0.523,12.0,36.0,0.333,22.0,28.0,0.786,8.0,32.0,40.0,28.0,15.0,6.0,10.0,15.0,126.0,,0.628,0.591,0.409,0.318,18.6,72.7,46.0,60.9,14.9,10.3,9.1,100.0,124.9,107.1,,,12.0,20.0,1.0,7.0,13.0,0.538,8.0,8.0,1.0,4.0,8.0,8.0,6.0,4.0,2.0,3.0,4.0,35.0,29.0,1.0,1.0,0.65,1.143,12.7,61.7,31.2,59.1,9.7,8.4,100.0,30.6,226.0,120.0,MIN,126,0,2022-11-16,False
18,240.0,240.0,40.0,83.0,0.482,8.0,27.0,0.296,17.0,20.0,0.85,10.0,39.0,49.0,28.0,12.0,5.0,21.0,16.0,105.0,,0.572,0.53,0.325,0.241,25.0,66.1,49.5,70.0,12.0,7.5,18.6,100.0,104.8,93.8,,,10.0,17.0,1.0,4.0,9.0,1.0,5.0,7.0,1.0,4.0,11.0,15.0,7.0,3.0,3.0,9.0,4.0,25.0,18.0,1.0,1.0,0.563,0.538,18.6,25.5,22.5,46.1,4.9,6.1,50.0,35.5,191.0,108.0,LAL,105,0,1,240.0,240.0,38.0,100.0,0.38,6.0,33.0,0.182,12.0,16.0,0.75,20.0,30.0,50.0,21.0,11.0,3.0,16.0,18.0,94.0,,0.439,0.41,0.33,0.16,33.9,75.0,50.5,55.3,11.0,5.4,13.0,100.0,93.8,104.8,,,7.0,23.0,1.0,2.0,8.0,0.5,4.0,4.0,1.0,5.0,6.0,9.0,5.0,4.0,1.0,4.0,4.0,19.0,7.0,1.0,1.0,1.0,0.364,16.1,74.2,30.0,37.3,14.2,4.0,27.3,29.2,200.0,114.0,SAS,94,1,2022-11-25,True
19,240.0,240.0,38.0,100.0,0.38,6.0,33.0,0.182,12.0,16.0,0.75,20.0,30.0,50.0,21.0,11.0,3.0,16.0,18.0,94.0,,0.439,0.41,0.33,0.16,33.9,75.0,50.5,55.3,11.0,5.4,13.0,100.0,93.8,104.8,,,7.0,23.0,1.0,2.0,8.0,0.5,4.0,4.0,1.0,5.0,6.0,9.0,5.0,4.0,1.0,4.0,4.0,19.0,7.0,1.0,1.0,1.0,0.364,16.1,74.2,30.0,37.3,14.2,4.0,27.3,29.2,200.0,114.0,SAS,94,1,0,240.0,240.0,40.0,83.0,0.482,8.0,27.0,0.296,17.0,20.0,0.85,10.0,39.0,49.0,28.0,12.0,5.0,21.0,16.0,105.0,,0.572,0.53,0.325,0.241,25.0,66.1,49.5,70.0,12.0,7.5,18.6,100.0,104.8,93.8,,,10.0,17.0,1.0,4.0,9.0,1.0,5.0,7.0,1.0,4.0,11.0,15.0,7.0,3.0,3.0,9.0,4.0,25.0,18.0,1.0,1.0,0.563,0.538,18.6,25.5,22.5,46.1,4.9,6.1,50.0,35.5,191.0,108.0,LAL,105,0,2022-11-25,False
